rollnumber,vote_question,vote_desc,bill_excerpt,reason,bill_number,bias_type
172,On Passage of the Bill,"A bill making appropriations for energy and water development for the fiscal year ending September 30, 2006, and for other purposes.","Making appropriations for energy and water development for the fiscal year ending September 30, 2006, and for other purposes. The following sums are appropriated, out of any money in the Treasury not otherwise appropriated, for the fiscal year ending September 30, 2006, for energy and water development and for other purposes: TITLE I - CORPS OF ENGINEERS--CIVIL. The following appropriations shall be expended under the direction of the Secretary of the Army and the supervision of the Chief of Engineers for authorized civil functions of the Department of the Army pertaining to rivers and harbors, flood control, shore protection and storm damage reduction, aquatic ecosystem restoration, and related purposes. For expenses necessary for the construction of river and harbor, flood control, shore protection and storm damage reduction, aquatic ecosystem restoration, and related projects authorized by law; for conducting detailed studies, and plans and specifications, of such projects... $2,372,000,000, to remain available until expended;... For expenses necessary for the flood damage reduction program for the Mississippi River alluvial valley below Cape Girardeau, Missouri, as authorized by law, $400,000,000, to remain available until expended... For expenses necessary for the operation, maintenance, and care of existing river and harbor, flood and storm damage reduction, aquatic ecosystem restoration, and related projects authorized by law;... $1,989,000,000, to remain available until expended.","These excerpts were chosen because they directly address the appropriations being voted on in the bill, detailing the funding allocated for various energy and water development projects, including flood control, construction, ecosystem restoration, and maintenance activities. The amounts specified and the purpose of these appropriations are critical for understanding the implications of the vote on the bill.",HR2419,328
173,On the Resolution,"A resolution expressing sympathy for the people of the United Kingdom in the aftermath of the deadly terrorist attacks on London on July 7, 2005.","Expressing sympathy for the people of the United Kingdom in the aftermath of the deadly terrorist attacks on London on July 7, 2005.

Whereas the United States and a broad international coalition have been engaged in a Global War on Terrorism since the terrorist attacks in Washington, D.C., New York, and Pennsylvania that occurred on September 11, 2001; Whereas the people and Governments of the United States and the United Kingdom enjoy a deep and enduring friendship undergirded by shared history, language, and values; Whereas the United Kingdom has been a strong and steadfast ally to the United States through two World Wars, the Cold War, the Gulf War, and the Global War on Terrorism, including the wars in Afghanistan and Iraq; Whereas on July 7, 2005, a series of four explosions struck the London public transportation system during the morning rush hour, killing at least 49 innocent civilians and injuring approximately 700 others; Whereas President Bush immediately condemned the terrorist attacks and extended the 'heartfelt condolences' of the people of the United States to the people of the United Kingdom; Resolved, That the Senate-- (1) expresses deepest sympathies and condolences to the people of the United Kingdom and the victims and their families for the heinous terrorist attacks that occurred in London on July 7, 2005; (2) condemns these barbaric and unwarranted attacks on the innocent people of London; (3) expresses strong and continued solidarity with the people of the United Kingdom and pledges to remain shoulder-to-shoulder with the people of the United Kingdom to bring the terrorists responsible for these brutal attacks to justice; and (4) calls upon the international community to renew and strengthen efforts to defeat terrorists by dismantling terrorist networks and exposing the violent and nihilistic ideology of terrorism.","These excerpts were chosen because they outline the resolution's purpose, which is to express sympathy for the victims of the July 7, 2005 terrorist attacks in London. The text includes the context of the attacks, the historical friendship between the U.S. and the U.K., and specific actions the Senate intends to take in response. This information directly relates to the legislators' vote on the resolution, as it encapsulates the emotional and political intent behind the expression of sympathy and solidarity.",SRES193,328
191,On the Joint Resolution,A joint resolution approving the renewal of import restrictions contained in the Burmese Freedom and Democracy Act of 2003.,"Resolved by the Senate and House of Representatives of the United States of America in Congress assembled, That Congress approves the renewal of the import restrictions contained in section 3(a)(1) of the Burmese Freedom and Democracy Act of 2003.","This excerpt directly states the action that Congress is voting on, which is the approval of the renewal of import restrictions as specified in the Burmese Freedom and Democracy Act of 2003. It encapsulates the essence of the joint resolution, making it highly relevant for understanding the vote's focus.",HJRES52,328
206,On the Cloture Motion,"A bill to prohibit civil liability actions from being brought or continued against manufacturers, distributors, dealers, or importers of firearms or ammunition for damages, injunctive or other relief resulting from the misuse of their products by others.","To prohibit civil liability actions from being brought or continued against manufacturers, distributors, dealers, or importers of firearms or ammunition for damages, injunctive or other relief resulting from the misuse of their products by others. Congress finds the following: (1) The Second Amendment to the United States Constitution provides that the right of the people to keep and bear arms shall not be infringed. (3) Lawsuits have been commenced against manufacturers, distributors, dealers, and importers of firearms that operate as designed and intended, which seek money damages and other relief for the harm caused by the misuse of firearms by third parties, including criminals. (5) Businesses in the United States that are engaged in interstate and foreign commerce through the lawful design, manufacture, marketing, distribution, importation, or sale to the public of firearms or ammunition products that have been shipped or transported in interstate or foreign commerce are not, and should not, be liable for the harm caused by those who criminally or unlawfully misuse firearm products or ammunition products that function as designed and intended.","These excerpts were chosen because they directly address the core purpose of the bill, which is to prohibit civil liability for firearms manufacturers and sellers when their products are misused by others. This is central to understanding what the legislators are voting on, as it outlines the legal protections the bill intends to provide, the rationale behind those protections related to the Second Amendment, and the context of lawsuits against the firearms industry.",S397,200
207,On the Amendment,"To amend chapter 44 of title 18, United States Code, to require the provision of a child safety lock in connection with the transfer of a handgun.","SEC. 5. CHILD SAFETY LOCKS.

(a) Short Title.--This section may be cited as the ``Child Safety Lock Act of 2005''.
(b) Purposes.--The purposes of this section are--
(1) to promote the safe storage and use of handguns by consumers;
(2) to prevent unauthorized persons from gaining access to or use of a handgun, including children who may not be in possession of a handgun; and
(3) to avoid hindering industry from supplying firearms to law abiding citizens for all lawful purposes, including hunting, self-defense, collecting, and competitive or recreational shooting.
(c) Firearms Safety.--
(1) Mandatory transfer of secure gun storage or safety device.--Section 922 of title 18, United States Code, is amended by inserting at the end the following:
``(z) Secure Gun Storage or Safety Device.--
(1) In general.--Except as provided under paragraph (2), it shall be unlawful for any licensed importer, licensed manufacturer, or licensed dealer to sell, deliver, or transfer any handgun to any person other than any person licensed under this chapter, unless the transferee is provided with a secure gun storage or safety device (as defined in section 921(a)(34)) for that handgun.
(2) Exceptions.--Paragraph (1) shall not apply to--
(A)(i) the manufacture for, transfer to, or possession by, the United States, a department or agency of the United States, a State, or a department, agency, or political subdivision of a State, of a handgun; or
(ii) the transfer to, or possession by, a law enforcement officer employed by an entity referred to in clause (i) of a handgun for law enforcement purposes (whether on or off duty); or
(B) the transfer to, or possession by, a rail police officer employed by a rail carrier and certified or commissioned as a police officer under the laws of a State of a handgun for purposes of law enforcement (whether on or off duty);
(C) the transfer to any person of a handgun listed as a curio or relic by the Secretary pursuant to section 921(a)(13); or
(D) the transfer to any person of a handgun for which a secure gun storage or safety device is temporarily unavailable for the reasons described in the exceptions stated in section 923(e), if the licensed manufacturer, licensed importer, or licensed dealer delivers to the transferee within 10 calendar days from the date of the delivery of the handgun to the transferee a secure gun storage or safety device for the handgun.
(3) Liability for use.--
(A) In general.--Notwithstanding any other provision of law, a person who has lawful possession and control of a handgun, and who uses a secure gun storage or safety device with the handgun, shall be entitled to immunity from a qualified civil liability action.
(B) Prospective actions.--A qualified civil liability action may not be brought in any Federal or State court.
(C) Defined term.--As used in this paragraph, the term `qualified civil liability action'--
(i) means a civil action brought by any person against a person described in subparagraph (A) for damages resulting from the criminal or unlawful misuse of the handgun by a third party, if--
(I) the handgun was accessed by another person who did not have the permission or authorization of the person having lawful possession and control of the handgun to have access to it; and
(II) at the time access was gained by the person not so authorized, the handgun had been made inoperable by use of a secure gun storage or safety device; and
(ii) shall not include an action brought against the person having lawful possession and control of the handgun for negligent entrustment or negligence per se.''.","These excerpts detail the Child Safety Lock provisions, which are central to the amendment being voted on. They specifically outline the requirement for handgun transfers to include a secure gun storage or safety device, aimed at preventing unauthorized access, particularly by children. This directly addresses the amendment's objective to impose safety measures on handguns, making it crucial for understanding the implications of the vote.",S397,100
208,On the Motion to Table,To clarify the prohibition on certain civil liability actions.,"To prohibit civil liability actions from being brought or continued against manufacturers, distributors, dealers, or importers of firearms or ammunition for damages, injunctive or other relief resulting from the misuse of their products by others. Congress finds that lawsuits have been commenced against manufacturers, distributors, dealers, and importers of firearms that operate as designed and intended, which seek money damages and other relief for the harm caused by the misuse of firearms by third parties, including criminals. The purposes of this Act are as follows: (1) to prohibit causes of action against manufacturers, distributors, dealers, and importers of firearms or ammunition products for the harm solely caused by the criminal or unlawful misuse of firearm products or ammunition products by others when the product functioned as designed and intended. (2) To prevent the use of such lawsuits to impose unreasonable burdens on interstate and foreign commerce. (3) A qualified civil liability action may not be brought in any Federal or State court.","These excerpts directly address the core intent of the bill, which is to clarify the prohibition on civil liability actions related to firearms and ammunition. They highlight the bill's objective to protect manufacturers and sellers from lawsuits arising due to the misuse of their products by third parties. This aligns with the vote description's focus on clarifying the prohibition on certain civil liability actions, making it crucial for understanding the implications of the vote.",S397,200
209,On Passage of the Bill,A bill to implement the Dominican Republic-Central America-United States Free Trade Agreement.,"The purposes of this Act are-- (1) to approve and implement the Free Trade Agreement between the United States, Costa Rica, the Dominican Republic, El Salvador, Guatemala, Honduras, and Nicaragua entered into under the authority of section 2103(b) of the Bipartisan Trade Promotion Authority Act of 2002 (19 U.S.C. 3803(b)); (2) to strengthen and develop economic relations between the United States, Costa Rica, the Dominican Republic, El Salvador, Guatemala, Honduras, and Nicaragua for their mutual benefit; (3) to establish free trade between the United States, Costa Rica, the Dominican Republic, El Salvador, Guatemala, Honduras, and Nicaragua through the reduction and elimination of barriers to trade in goods and services and to investment; and (4) to lay the foundation for further cooperation to expand and enhance the benefits of the Agreement.","This excerpt outlines the primary purposes of the bill, which is to implement the Dominican Republic-Central America-United States Free Trade Agreement. Understanding these purposes is crucial for legislators to assess the implications of the agreement on trade relations, economic development, and barriers to trade, which are central to the vote on the bill.",HR3045,200
211,On the Conference Report,"A bill making appropriations for the Legislative Branch for the fiscal year ending September 30, 2006, and for other purposes.","Making appropriations for the Legislative Branch for the fiscal year ending September 30, 2006, and for other purposes. That the following sums are appropriated, out of any money in the Treasury not otherwise appropriated, for the Legislative Branch for the fiscal year ending September 30, 2006, namely:

TITLE I--LEGISLATIVE BRANCH APPROPRIATIONS

SENATE

Expense Allowances
For expense allowances of the Vice President, $20,000; the President Pro Tempore of the Senate, $40,000; Majority Leader of the Senate, $40,000; Minority Leader of the Senate, $40,000;...

HOUSE OF REPRESENTATIVES

Salaries and Expenses
For salaries and expenses of the House of Representatives, $1,100,907,000, as follows: house leadership offices For salaries and expenses, as authorized by law, $19,844,000, including: Office of the Speaker, $2,788,000, including $25,000 for official expenses of the Speaker; Office of the Majority Floor Leader, $2,089,000,...

JOINT ITEMS
For Joint Committees, as follows: Joint Economic Committee For salaries and expenses of the Joint Economic Committee, $4,276,000, to be disbursed by the Secretary of the Senate.

For medical supplies, equipment, and contingent expenses...$2,545,000, to be disbursed by the Chief Administrative Officer of the House of Representatives.","These excerpts encompass the key appropriations for the Legislative Branch, detailing specific budget allocations for both the Senate and House of Representatives, as well as joint committees. They provide a clear picture of what the legislators are voting on, namely the funding levels for various offices and services that support legislative functions. This is crucial for understanding the financial implications of the bill and ensuring transparency in government spending.",HR2985,328
214,On the Amendment,To protect the rights of children who are victimized by crime to secure compensation from those who participate in the arming of criminals.,"SEC. 2. FINDINGS; PURPOSES. (a) Findings.--Congress finds the following: (1) The Second Amendment to the United States Constitution provides that the right of the people to keep and bear arms shall not be infringed. (3) Lawsuits have been commenced against manufacturers, distributors, dealers, and importers of firearms that operate as designed and intended, which seek money damages and other relief for the harm caused by the misuse of firearms by third parties, including criminals. (5) Businesses in the United States that are engaged in interstate and foreign commerce through the lawful design, manufacture, marketing, distribution, importation, or sale to the public of firearms or ammunition products that have been shipped or transported in interstate or foreign commerce are not, and should not, be liable for the harm caused by those who criminally or unlawfully misuse firearm products or ammunition products that function as designed and intended. (8) The liability actions commenced or contemplated by the Federal Government, States, municipalities, and private interest groups and others attempt to use the judicial branch to circumvent the Legislative branch of government to regulate interstate and foreign commerce through judgments and judicial decrees thereby threatening the Separation of Powers doctrine. (b) Purposes.--The purposes of this Act are as follows: (1) To prohibit causes of action against manufacturers, distributors, dealers, and importers of firearms or ammunition products, and their trade associations, for the harm solely caused by the criminal or unlawful misuse of firearm products or ammunition products by others when the product functioned as designed and intended. (4) To prevent the use of such lawsuits to impose unreasonable burdens on interstate and foreign commerce.","These excerpts were chosen because they directly address the findings and purposes of the proposed legislation, which aims to protect manufacturers and sellers of firearms from civil liability actions arising from the misuse of their products by criminals. This is relevant to the vote as it outlines the intended protections for businesses involved in firearms commerce, and highlights the legislative intent to uphold the rights of these entities against lawsuits that could arise from crimes committed with their products. The context of protecting children who are victims of crime is indirectly referenced in the discussion of misuse and liability, which informs the broader implications of the legislation.",S397,200
215,On the Amendment,To exempt lawsuits involving injuries to children from the definition of qualified civil liability action.,"SEC. 4. DEFINITIONS.
(5) Qualified civil liability action.--(A) In general.--The term ""qualified civil liability action"" means a civil action or proceeding or an administrative proceeding brought by any person against a manufacturer or seller of a qualified product, or a trade association, for damages, punitive damages, injunctive or declaratory relief, abatement, restitution, fines, or penalties, or other relief resulting from the criminal or unlawful misuse of a qualified product by the person or a third party, but shall not include--(vi) an action or proceeding commenced by the Attorney General to enforce the provisions of chapter 44 of title 18 or chapter 53 of title 26, United States Code. (D) Minor child exception.--Nothing in this Act shall be construed to limit the right of a person under 17 years of age to recover damages authorized under Federal or State law in a civil action that meets 1 of the requirements under clauses (i) through (v) of subparagraph (A).","These excerpts define what constitutes a qualified civil liability action and specifically highlight the exceptions to this definition, which include actions involving minors. This directly relates to the amendment under discussion, which seeks to exempt lawsuits involving injuries to children from being classified as qualified civil liability actions, thereby allowing such lawsuits to proceed.",S397,100
216,On the Amendment,"To regulate the sale and possession of armor piercing ammunition, and for other purposes.","SEC. 6. ARMOR PIERCING AMMUNITION. (a) Unlawful Acts.--Section 922(a) of title 18, United States Code, is amended by striking paragraphs (7) and (8) and inserting the following: ""(7) for any person to manufacture or import armor piercing ammunition, unless-- (A) the manufacture of such ammunition is for the use of the United States, any department or agency of the United States, any State, or any department, agency, or political subdivision of a State; (B) the manufacture of such ammunition is for the purpose of exportation; or (C) the manufacture or importation of such ammunition is for the purpose of testing or experimentation and has been authorized by the Attorney General;"" (8) for any manufacturer or importer to sell or deliver armor piercing ammunition, unless such sale or delivery-- (A) is for the use of the United States, any department or agency of the United States, any State, or any department, agency, or political subdivision of a State; (B) is for the purpose of exportation; or (C) is for the purpose of testing or experimentation and has been authorized by the Attorney General;"".","This excerpt is directly relevant to the vote on the amendment concerning the regulation of armor piercing ammunition. It outlines the conditions under which the manufacture, importation, and sale of armor piercing ammunition would be considered unlawful, clearly defining the legal framework that legislators are being asked to either endorse or reject in this amendment.",S397,200
217,On the Amendment,To expand the definition of armor piercing ammunition and for other purposes.,"SEC. 6. ARMOR PIERCING AMMUNITION.

(a) Unlawful Acts.--Section 922(a) of title 18, United States Code, is amended by striking paragraphs (7) and (8) and inserting the following: ""(7) for any person to manufacture or import armor piercing ammunition, unless-- (A) the manufacture of such ammunition is for the use of the United States, any department or agency of the United States, any State, or any department, agency, or political subdivision of a State; (B) the manufacture of such ammunition is for the purpose of exportation; or (C) the manufacture or importation of such ammunition is for the purpose of testing or experimentation and has been authorized by the Attorney General;"" (8) for any manufacturer or importer to sell or deliver armor piercing ammunition, unless such sale or delivery-- (A) is for the use of the United States, any department or agency of the United States, any State, or any department, agency, or political subdivision of a State; (B) is for the purpose of exportation; or (C) is for the purpose of testing or experimentation and has been authorized by the Attorney General;"" 

(b) Penalties.--Section 924(c) of title 18, United States Code, is amended by adding at the end the following: ""(5) Except to the extent that a greater minimum sentence is otherwise provided under this subsection, or by any other provision of law, any person who, during and in relation to any crime of violence or drug trafficking crime (including a crime of violence or drug trafficking crime that provides for an enhanced punishment if committed by the use of a deadly or dangerous weapon or device) for which the person may be prosecuted in a court of the United States, uses or carries armor piercing ammunition, or who, in furtherance of any such crime, possesses armor piercing ammunition, shall, in addition to the punishment provided for such crime of violence or drug trafficking crime or conviction under this section-- (A) be sentenced to a term of imprisonment of not less than 15 years; and (B) if death results from the use of such ammunition-- (i) if the killing is murder (as defined in section 1111), be punished by death or sentenced to a term of imprisonment for any term of years or for life; and (ii) if the killing is manslaughter (as defined in section 1112), be punished as provided in section 1112."" 

(c) Study and Report.--(1) Study.--The Attorney General shall conduct a study to determine whether a uniform standard for the testing of projectiles against Body Armor is feasible. (2) Issues to be studied.--The study conducted under paragraph (1) shall include-- (A) variations in performance that are related to the length of the barrel of the handgun or center-fire rifle from which the projectile is fired; and (B) the amount of powder used to propel the projectile. (3) Report.--Not later than 2 years after the date of enactment of this Act, the Attorney General shall submit a report containing the results of the study conducted under this subsection to-- (A) the chairman and ranking member of the Committee on the Judiciary of the Senate; and (B) the chairman and ranking member of the Committee on the Judiciary of the House of Representatives.","These excerpts directly address the proposed amendment to expand the definition of armor piercing ammunition. They outline the conditions under which the manufacture, importation, and sale of such ammunition are considered unlawful, as well as the penalties associated with the use of armor piercing ammunition in relation to violent crimes. This is crucial for legislators to understand what specific changes they are voting on regarding the regulation of armor piercing ammunition.",S397,100
218,On the Amendment,To provide a complete substitute.,"To prohibit civil liability actions from being brought or continued against manufacturers, distributors, dealers, or importers of firearms or ammunition for damages, injunctive or other relief resulting from the misuse of their products by others. The purposes of this Act are as follows: (1) To prohibit causes of action against manufacturers, distributors, dealers, and importers of firearms or ammunition products, and their trade associations, for the harm solely caused by the criminal or unlawful misuse of firearm products or ammunition products by others when the product functioned as designed and intended. (3) To guarantee a citizen's rights, privileges, and immunities, as applied to the States, under the Fourteenth Amendment to the United States Constitution, pursuant to section 5 of that Amendment. (4) To prevent the use of such lawsuits to impose unreasonable burdens on interstate and foreign commerce. (5) To protect the right, under the First Amendment to the Constitution, of manufacturers, distributors, dealers, and importers of firearms or ammunition products, and trade associations, to speak freely, to assemble peaceably, and to petition the Government for a redress of their grievances.","These excerpts were chosen because they encapsulate the primary objective of the bill, which is to prohibit civil liability actions against firearm manufacturers and dealers for misuse by third parties. The specified purposes highlight the bill's intent to protect the rights of manufacturers and ensure that they are not held responsible for actions taken by others, which directly relates to the amendment being voted on. This context is crucial for understanding the implications of the proposed amendment, as it provides insight into the legislative intent and the potential impact on civil liability related to firearms.",S397,100
219,On Passage of the Bill,"A bill to prohibit civil liability actions from being brought or continued against manufacturers, distributors, dealers, or importers of firearms or ammunition for damages, injunctive or other relief resulting from the misuse of their products by others.","To prohibit civil liability actions from being brought or continued against manufacturers, distributors, dealers, or importers of firearms or ammunition for damages, injunctive or other relief resulting from the misuse of their products by others. SEC. 2. FINDINGS; PURPOSES. (a) Findings.--Congress finds the following: (3) Lawsuits have been commenced against manufacturers, distributors, dealers, and importers of firearms that operate as designed and intended, which seek money damages and other relief for the harm caused by the misuse of firearms by third parties, including criminals. (5) Businesses in the United States that are engaged in interstate and foreign commerce through the lawful design, manufacture, marketing, distribution, importation, or sale to the public of firearms or ammunition products that have been shipped or transported in interstate or foreign commerce are not, and should not, be liable for the harm caused by those who criminally or unlawfully misuse firearm products or ammunition products that function as designed and intended. (b) Purposes.--The purposes of this Act are as follows: (1) To prohibit causes of action against manufacturers, distributors, dealers, and importers of firearms or ammunition products, and their trade associations, for the harm solely caused by the criminal or unlawful misuse of firearm products or ammunition products by others when the product functioned as designed and intended. (4) To prevent the use of such lawsuits to impose unreasonable burdens on interstate and foreign commerce. SEC. 3. PROHIBITION ON BRINGING OF QUALIFIED CIVIL LIABILITY ACTIONS IN FEDERAL OR STATE COURT. (a) In General.--A qualified civil liability action may not be brought in any Federal or State court. (b) Dismissal of Pending Actions.--A qualified civil liability action that is pending on the date of enactment of this Act shall be immediately dismissed by the court in which the action was brought or is currently pending.","These excerpts were chosen because they directly state the intent of the bill, which is to prohibit civil liability actions against firearm manufacturers and sellers for misuse of their products. The findings and purposes sections elucidate the rationale behind the bill, emphasizing the importance of protecting the firearms industry from lawsuits that stem from criminal misuse of firearms. Additionally, the prohibition on bringing qualified civil liability actions in federal or state courts clearly outlines the core mechanism of the bill, which is the immunity from liability for lawful manufacturers and distributors.",S397,200
221,On the Resolution,"A resolution expressing the condolences of the Nation to the victims of Hurricane Katrina, commending the resiliency of the people of the States of Louisiana, Mississippi, and Alabama, and committing to stand by them in the relief and recovery efforts.","Expressing the condolences of the Nation to the victims of Hurricane Katrina, commending the resiliency of the people of the States of Louisiana, Mississippi, and Alabama, and committing to stand by them in the relief and recovery efforts. Whereas, on August 28, 2005, Hurricane Katrina reached landfall devastating the Gulf Coast States; Whereas there has yet to be a full accounting for all our citizens whose lives were tragically lost; Whereas the cost in human suffering is ongoing for hundreds of thousands of people who have lost loved ones, homes, and livelihoods; Whereas immediate humanitarian aid is still critically needed in many of the devastated regions; Whereas the devastation on the Gulf Coast of Mississippi, Louisiana, and Alabama is catastrophic; Whereas the City of New Orleans is tragically flooded and the surrounding communities of St. Bernard and Plaquemines parishes are devastated; Whereas every city on the Mississippi Gulf Coast is severely damaged or destroyed, including Waveland, Bay St. Louis, Pass Christian, Long Beach, Gulfport, Biloxi, Ocean Springs, Moss Point, and Pascagoula; Whereas Coast Guard search and rescue teams, police, firefighters, the National Guard, and many ordinary citizens have risked their lives to save others; Whereas the American Red Cross, the Salvation Army, and other volunteer organizations and charities are supplying hurricane victims with food, water, and shelter; Whereas the State of Texas and numerous other States have welcomed tens of thousands of victims from Louisiana and provided them with aid and comfort; and Whereas thousands of volunteers and government employees from across the Nation have committed time and resources to help with recovery efforts: Now, therefore, be it Resolved, That the Senate-- (1) expresses the condolences of the Nation to the victims of Hurricane Katrina; (2) commends the resiliency and courage of the people of the States of Louisiana, Mississippi, and Alabama; and (3) commits to provide the necessary resources and to stand by the people of the States of Louisiana, Mississippi, and Alabama in the relief, recovery, and rebuilding efforts.","These excerpts encapsulate the key sentiments and actions expressed in the resolution regarding Hurricane Katrina. They outline the condolences extended to the victims, commend the resilience of the affected communities, and commit to supporting relief and recovery efforts. This directly aligns with the focus of the vote, which is to express national solidarity and support for those impacted by the disaster.",SRES233,328
222,On the Resolution,"A resolution relative to the death of William H. Rehnquist, Chief Justice of the United States.","Whereas William H. Rehnquist passed away on September 3, 2005, surrounded by his loving family; and Whereas our Nation is deeply indebted to William H. Rehnquist, a truly distinguished American: Now, therefore, be it Resolved, That the Senate-- (1) extends its heartfelt sympathy to the family and friends of William H. Rehnquist; (2) acknowledges William H. Rehnquist's lifelong service to the United States of America as a World War II veteran, a talented attorney, a dedicated public servant, a brilliant jurist, and one of our Nation's greatest Chief Justices; and (3) commends William H. Rehnquist for his 33 year tenure on the Supreme Court of the United States and his many accomplishments as Chief Justice of the United States.","These excerpts were chosen as they directly address the resolution's purpose of expressing condolences and recognizing the contributions of William H. Rehnquist following his death. They encapsulate the sentiment the Senate is voting on, which is to honor his legacy and service.",SRES234,328
223,On Passage of the Bill,"A bill making further emergency supplemental appropriations to meet immediate needs arising from the consequences of Hurricane Katrina, for the fiscal year ending September 30, 2005, and for other purposes.","Making further emergency supplemental appropriations to meet immediate needs arising from the consequences of Hurricane Katrina, for the fiscal year ending September 30, 2005, and for other purposes. Be it enacted by the Senate and House of Representatives of the United States of America in Congress assembled, That the following sums are appropriated, out of any money in the Treasury not otherwise appropriated, for the fiscal year ending September 30, 2005, namely: DEPARTMENT OF DEFENSE--MILITARY OPERATION AND MAINTENANCE Operation and Maintenance, Defense-Wide (INCLUDING TRANSFERS OF FUNDS) For an additional amount for ""Operation and Maintenance, Defense-Wide"", $1,400,000,000 for emergency hurricane expenses, to support costs of evacuation, emergency repairs, deployment of personnel, and other costs resulting from immediate relief efforts, to remain available until September 30, 2006: Provided, That the Secretary of Defense may transfer these funds to appropriations for military personnel, operation and maintenance, procurement, family housing, Defense Health Program, and working capital funds: Provided further, That not to exceed $6,000,000 may be transferred to ""Armed Forces Retirement Home"" for emergency hurricane expenses. DEPARTMENT OF HOMELAND SECURITY EMERGENCY PREPAREDNESS AND RESPONSE Disaster Relief (INCLUDING TRANSFERS OF FUNDS) For an additional amount for ""Disaster Relief"", $50,000,000,000, to remain available until expended: Provided, That up to $100,000,000 may be transferred to and merged with ""Emergency Preparedness and Response, Public Health Programs"" for the National Disaster Medical System to support medical care as authorized by the Public Health Security and Bioterrorism Preparedness and Response Act of 2002 (42 U.S.C. 300hh-11).","These excerpts were chosen because they directly address the appropriations and support for emergency relief efforts related to Hurricane Katrina, which is the primary focus of the vote on the bill. The specified amounts for various departments (Defense and Homeland Security) and their purposes highlight the immediate financial needs arising from the disaster, thus providing lawmakers with clear information on what the funding is meant to address.",HR3673,328
224,On the Motion,A joint resolution disapproving a rule promulgated by the Administrator of the Environmental Protection Agency to delist coal and oil-direct utility units from the source category list under the Clean Air Act.,"Resolved by the Senate and House of Representatives of the United States of America in Congress assembled, That Congress disapproves the rule submitted by the Administrator of the Environmental Protection Agency on March 15, 2005, relating to the removal of coal- and oil-fired electric generating units as a category from the list of major sources of hazardous air pollutants to be controlled under section 112 of the Clean Air Act (42 U.S.C. 7401 et seq.) (70 Fed. Reg. 15994 (March 29, 2005)), and such rule shall have no force or effect.","This excerpt directly states the purpose of the joint resolution, which is to disapprove the EPA's rule that would remove coal and oil-fired electric generating units from the list of major sources of hazardous air pollutants. It clearly outlines the action Congress is taking regarding environmental regulations under the Clean Air Act, making it highly relevant to the vote.",SJRES20,328
225,On the Joint Resolution,A joint resolution disapproving a rule promulgated by the Administrator of the Environmental Protection Agency to delist coal and oil-direct utility units from the source category list under the Clean Air Act.,"Resolved by the Senate and House of Representatives of the United States of America in Congress assembled, That Congress disapproves the rule submitted by the Administrator of the Environmental Protection Agency on March 15, 2005, relating to the removal of coal- and oil-fired electric generating units as a category from the list of major sources of hazardous air pollutants to be controlled under section 112 of the Clean Air Act (42 U.S.C. 7401 et seq.) (70 Fed. Reg. 15994 (March 29, 2005)), and such rule shall have no force or effect.","This excerpt directly addresses the core issue at hand: the disapproval of the EPA's rule that seeks to remove coal and oil-fired electric generating units from the list of major sources of hazardous air pollutants under the Clean Air Act. It succinctly states the action Congress is taking, which is the focus of the vote.",SJRES20,100
242,On the Amendment,"To provide an additional $10,000,000 for the Readjustment Counseling Service, with a corresponding offset from the HealtheVet account.","To provide an additional $10,000,000 for the Readjustment Counseling Service, with a corresponding offset from the HealtheVet account.","This excerpt directly addresses the amendment being voted on, which focuses on the allocation of an additional $10,000,000 specifically for the Readjustment Counseling Service. It highlights the purpose of the funding and indicates the source of the offset, which is crucial for understanding the financial implications of the amendment.",HR2528,100
243,On Passage of the Bill,"An Act making appropriations for Military Construction and Veterans Affairs, and Related Agencies for the fiscal year ending September 30, 2006, and for other purposes.","Making appropriations for military quality of life functions of the Department of Defense, military construction, the Department of Veterans Affairs, and related agencies for the fiscal year ending September 30, 2006, and for other purposes. For acquisition, construction, installation, and equipment of temporary or permanent public works, military installations, facilities, and real property for the Army as currently authorized by law, including personnel in the Army Corps of Engineers and other personal services necessary for the purposes of this appropriation, and for construction and operation of facilities in support of the functions of the Commander in Chief, $1,775,260,000, to remain available until September 30, 2010.","This excerpt outlines the overall purpose of the bill, which is to make appropriations for military construction and veterans affairs for the fiscal year ending September 30, 2006. It specifies the amount allocated for Army construction, which is critical for understanding the financial commitment being voted on. It highlights the intent to improve military quality of life and facility support, which is central to the bill's objectives.",HR2528,328
246,On the Amendment,To continue funding for the Community Services Block Grant at no less than last year's level.,"Sec. 128. The provisions of title II of the McKinney-Vento Homeless Assistance Act (42 U.S.C. 11311 et seq.) shall continue in effect, notwithstanding section 209 of such Act, through the earlier of: (1) the date specified in section 106(3) of this joint resolution; or (2) the date of the enactment into law of an authorization Act relating to the McKinney-Vento Homeless Assistance Act.","This excerpt is relevant because it specifically mentions the continuation of provisions related to the McKinney-Vento Homeless Assistance Act, which is tied to community services funding. The amendment focuses on maintaining funding levels for community services, aligning directly with the intent of the vote to support the Community Services Block Grant.",HJRES68,100
